boys_name,last_name,street_address,town,zip ,math_score,ela_score,total_score,Column1,choice_1,choice_2,choice_3,choice_4
Leonidas,Conley,3 Mandeville Avenue,South View,72355,543,459,1002,,East Valley High,East Ocean Senior,Eastern Plateau Senior,South Ocean High
Sean,Mcdowell,189 Petaluma Boulevard,Southern Ocean,72421,533,468,1001,,Central Plateau Secondary,South Ocean High,Central Terrace Junior-Sec,Central Ridge Senior
Case,Jensen,511 Bloomington Road,Western Ridge,72429,544,455,999,,Northern Bayou High,Southern Bayou Composite,Western Delta Secondary,Eastern View Composite
Kevin,Gonzalez,707 Winchester Boulevard,South Plateau,72360,536,463,999,,West Ocean Senior,South View Composite,Northern Bay College,Central Terrace Junior-Sec
Adonis,Woodward,861 Johns Creek Road,Northern Bay,72414,510,489,999,,Eastern Ocean College,Southern Bay College,East Plateau College,South River Junior-Sec
Gregory,Patrick,459 Longview Drive,West Terrace,72367,499,500,999,,Southern Bay College,Western Ocean Secondary,North Plateau Secondary,South Valley Senior
Deandre,Russell,415 Palm Beach Gardens Place,Eastern Delta,72442,527,471,998,,East Terrace Senior,Western Delta Secondary,Southern Bayou Composite,Western Ridge High
Deandre,Livingston,152 Malden Lane,East Bayou,72383,508,490,998,,Main River College,Main Terrace Senior,West Ocean Senior,Southern Terrace Senior
Malcolm,Villegas,634 Boynton Beach Court,Northern Terrace,72407,519,478,997,,East Bayou College,Central Plateau Secondary,Eastern Plateau Junior-Sec,Eastern River Secondary
Alexis,Santiago,347 Vineland Place,Main Delta,72402,515,482,997,,West Ocean Secondary,Eastern Bayou Junior-Sec,Eastern Ocean College,Northern Ocean Secondary
Kristian,Valencia,619 Waukegan Boulevard,Central Bayou,72393,508,489,997,,Southern Ocean High,Northern Terrace High,Central Bay Secondary,Western Plateau Secondary
Moses,Harmon,200 Boca Raton Drive,West Bayou,72373,550,446,996,,South View Composite,Central Plateau Secondary,Northern View Junior-Sec,Eastern Terrace Secondary
Brycen,Erickson,552 Springfield Lane,West View,72365,499,497,996,,Central Ridge Senior,Northern View Junior-Sec,North Ridge High,Southern Bay College
Edwin,Cowan,457 Castle Rock Lane,North Ocean,72351,521,474,995,,Eastern Bayou Junior-Sec,Central Terrace Secondary,Main River College,Eastern View Composite
Maurice,Maxwell,182 Wellington Drive,East Ridge,72379,516,479,995,,East Ocean Secondary,Southern Plateau Secondary,Main Plateau College,Western Ocean Secondary
Adam,Villegas,925 Huntington Park Drive,Eastern View,72435,504,491,995,,Western Delta Junior-Sec,South Delta Secondary,North Bay College,Central Ridge Senior
Trenton,Castro,606 Fall River Avenue,Northern Valley,72406,539,455,994,,Northern Bayou High,Main Terrace Senior,North Ridge High,Central Terrace Secondary
Trenton,Meza,982 Hammond Avenue,Central Bayou,72393,526,468,994,,East Valley High,South River High,Central Plateau Secondary,East-Central View Composite
Carlo,Rogers,9 Dover Place,South Ocean,72361,504,489,993,,East Bayou College,Southern Ridge Secondary,North Ridge High,Central Terrace Junior-Sec
Terry,Buckley,291 Turlock Lane,West Plateau,72370,550,442,992,,South River Junior-Sec,East Plateau College,South Delta Secondary,Central Terrace Secondary
Kenny,Stuart,433 Johnson City Avenue,Central Bayou,72393,548,444,992,,Main Bayou College,Northern River Senior,Southern Bayou Composite,Northern Bay Senior
Isaac,Reed,527 Tamarac Avenue,Southern River,72418,530,461,991,,East Bayou High,East Valley High,Main Bayou College,North Bay High
Ezekie,Carr,605 Chicopee Lane,Eastern Bay,72444,546,444,990,,Southern Ocean High,Central Terrace Junior-Sec,Main River College,Main Plateau College
Ayaan,Barton,47 Bristol Road,West River,72368,528,462,990,,Main Terrace Secondary,Main Valley Senior,Western Ocean Secondary,Central Ridge Composite
Coby,Murillo,940 Highlands Ranch Place,West Plateau,72370,514,476,990,,Central Terrace Junior-Sec,South Ridge High,Western Plateau Secondary,Main Delta Senior
Keagan,Dunlap,756 Normal Road,South Ridge,72359,548,441,989,,Western Bayou High,Main Bayou College,East Valley High,East Bayou College
Adonis,Fernandez,613 Morristown Lane,West Valley,72366,537,452,989,,Northern Valley Senior,North Ridge High,North Plateau Secondary,Central Plateau Secondary
Ricardo,Zimmerman,979 Euless Place,East Valley,72376,536,453,989,,East Plateau College,North Valley Junior-Sec,Southern Terrace Senior,East Valley Senior
Eli,Summers,484 Lawrence Court,Northern Bayou,72413,518,471,989,,Central Ridge Composite,East-Central View Composite,North Bay College,Southern Bay College
Carlo,Park,286 Wyoming Lane,North Bayou,72353,522,466,988,,Northern Ocean Secondary,Eastern River Secondary,Eastern Bayou Junior-Sec,Western Delta Junior-Sec
Issac,Dennis,24 Camden Road,Main Ridge,72399,512,476,988,,North Ridge High,Central Bay Secondary,East Valley Senior,South Plateau Secondary
Deandre,Figueroa,672 Shoreline Street,West Ridge,72369,504,484,988,,North Plateau Secondary,North-West Ocean Senior,Main Terrace College,East-Central View Composite
Connor,Young,351 Rock Hill Place,Central Bay,72394,504,483,987,,Eastern Plateau Senior,Northern Bay Senior,Eastern View High,Eastern View Composite
Maddox,Gallagher,267 West Covina Lane,West Bay,72374,546,441,987,,Central Terrace Secondary,Western Plateau Secondary,Northern Terrace High,Northern Delta Senior
Juan,Fernandez,277 Lynchburg Drive,Main Ridge,72399,536,451,987,,Central Terrace Junior-Sec,Southern Terrace Senior,Eastern Bayou Junior-Sec,Western Bayou High
Alvin,Jensen,976 Portsmouth Lane,Main View,72395,534,453,987,,Main Bayou College,Northern View Junior-Sec,Western Delta Secondary,East River Senior
Alfred,Bush,36 Salisbury Street,East River,72378,511,476,987,,East Terrace Senior,Southern Terrace Senior,Main Plateau College,Main Bayou College
Colt,Green,894 Glens Falls Road,Western Delta,72432,508,479,987,,Eastern Terrace Secondary,Central Ridge Composite,West Valley High,East Plateau College
Austin,Luna,934 Waldorf Boulevard,North Delta,72352,549,437,986,,North Bay College,Eastern Bayou Secondary,South River Junior-Sec,West Bayou Senior
Ayaan,Vang,65 Clovis Boulevard,South Bayou,72363,536,450,986,,Northern Bay Senior,North Ridge High,East Valley Senior,West Bayou Senior
Jayden,Gibbs,893 Southaven Place,Western Ridge,72429,511,475,986,,Eastern Bayou Junior-Sec,Main River College,Southern Terrace Senior,Eastern Plateau Junior-Sec
Keagan,Solomon,385 West Jordan Place,Southern River,72418,501,485,986,,Eastern Plateau Junior-Sec,South Valley Senior,Main Terrace Secondary,Main Ridge College
Johnathon,Cuevas,541 Weymouth Town Street,Northern Bayou,72413,498,488,986,,West Ocean Secondary,East Bayou High,Northern Bay Senior,South Ocean High
Juan,Griffin,548 Pine Hills Drive,Main View,72395,549,436,985,,Main Delta Composite,Southern Ridge Secondary,East Bayou High,East Bayou College
Kole,Everett,588 Springdale Drive,West Terrace,72367,537,448,985,,East-Central View Composite,Central Plateau Secondary,South Valley Senior,Main Terrace Senior
Kingston,Gibbs,272 Fountainebleau Boulevard,East Ridge,72379,522,463,985,,Main Terrace Senior,Eastern Terrace Secondary,East Ocean Secondary,Eastern Ocean College
Allen,Harmon,562 Centreville Street,North River,72348,515,470,985,,North Bay High,North Bay College,Central Terrace Junior-Sec,Eastern View High
Barrett,Burnett,574 Leesburg Court,Northern Ridge,72409,508,477,985,,Eastern Terrace Secondary,North Ridge High,North Valley Junior-Sec,East Valley High
Jerome,Mcguire,378 South Hill Court,Northern Terrace,72407,544,440,984,,Western Ocean Secondary,Central Terrace Secondary,East Bayou High,East Terrace Senior
Dallas,Francis,149 Florence Boulevard,Northern Ridge,72409,530,454,984,,Western Delta Junior-Sec,Main Plateau College,North Bay High,Main Plateau Composite
Raul,Wilson,671 Menifee Court,Main Ocean,72401,497,487,984,,Southern Plateau Secondary,Southern Ocean High,Central Ridge Composite,South Valley Senior
Braxton,Howe,735 St. Clair Shores Street,Northern River,72408,486,498,984,,South River High,Western Ridge High,Central Ridge Composite,Eastern Valley Junior-Sec
Easton,Mullins,36 Hillsboro Place,Western River,72428,538,444,982,,North-West Ocean Senior,East Terrace Senior,Northern Delta Senior,Eastern Plateau Senior
Jayden,Fernandez,918 Lawrence Road,Eastern Valley,72436,511,471,982,,Main Valley Senior,Northern Bay Senior,Eastern View Composite,Eastern Valley Junior-Sec
Marquise,Mcguire,32 Texas City Lane,West River,72368,502,480,982,,Central Ridge Senior,Central Plateau Secondary,Northern Terrace High,Eastern Ocean College
Jasper,Guerrero,620 Lima Court,Main Bayou,72403,497,485,982,,Main Delta Senior,Central Ridge Composite,Central Plateau Secondary,North Plateau Secondary
Blake,Freeman,413 Williamsburg Road,North View,72345,487,495,982,,Main Ridge College,Central Terrace Junior-Sec,Eastern Bayou Secondary,East Ocean Senior
Holden,Fisher,93 St. Cloud Drive,Southern Plateau,72420,487,495,982,,Western Ocean Secondary,North-West Ocean Senior,Main Terrace Secondary,West Ocean Secondary
Gregory,Hodges,786 Brookhaven Avenue,South Valley,72356,486,496,982,,Eastern Ocean College,Main Ridge College,Western Ridge High,Northern Terrace High
Darwin,Jackson,746 Pawtucket Place,Northern Ocean,72411,535,446,981,,Eastern Bayou Secondary,East Bayou High,Central Ridge Composite,Main Delta Composite
Braylen,Reeves,323 St. Augustine Street,East Ridge,72379,535,446,981,,South Ridge High,East Valley High,North Bay High,Main Plateau Composite
Grant,Shah,657 Rancho Cordova Boulevard,Eastern Bayou,72443,501,480,981,,Northern Ocean Secondary,Main Terrace Senior,North Plateau Secondary,East Plateau College
Aydan,Rivas,486 Broken Arrow Place,South Delta,72362,486,495,981,,Western Ocean Secondary,East Ocean Senior,East Bayou High,Northern Bay Senior
Austin,Irwin,68 Highland Lane,Central River,72388,540,440,980,,Main Plateau Composite,Northern Ocean Secondary,South Delta Secondary,Northern Terrace High
Brenden,Shannon,519 Ponce Drive,Southern Bay,72424,508,472,980,,Southern Plateau Secondary,Eastern View High,Northern Ocean Secondary,West Valley High
Sam,Love,313 Newton Boulevard,Western Bayou,72433,536,443,979,,South Plateau Secondary,South River High,Southern Terrace Senior,Southern Plateau Secondary
Aydan,Mann,662 Lakeville Avenue,West Delta,72372,496,483,979,,Southern Bay College,Main Plateau Composite,Southern Ridge Secondary,North Terrace High
Sam,Erickson,719 Conroe Street,Central Bay,72394,526,452,978,,Main Delta Senior,South River Junior-Sec,Southern Ridge Secondary,South Delta Secondary
Carl,Irwin,530 Kankakee Road,Northern Ridge,72409,543,435,978,,Northern Bay Senior,East Valley High,Western Plateau Secondary,Southern Bay College
Deshawn,Ortiz,770 Carson Drive,North Bayou,72353,527,451,978,,South Valley Senior,Southern Ridge Secondary,Main River College,Eastern Valley Junior-Sec
Konner,Shah,53 Altoona Road,Main Ridge,72399,503,475,978,,Western Delta Junior-Sec,North Bayou High,East River Senior,Central Plateau Secondary
Skylar,Ortiz,538 Lafayette Street,South Ocean,72361,495,482,977,,East Terrace Senior,Main Terrace Senior,North Valley Junior-Sec,Western Ridge High
Denzel,Richards,16 Rocklin Street,West Bayou,72373,538,438,976,,Main Valley Senior,Western Delta Junior-Sec,Northern River Senior,Eastern Bayou Junior-Sec
Mike,Cuevas,172 Bethlehem Road,South River,72358,533,443,976,,Central Ridge Composite,Western Delta Junior-Sec,Southern Bay College,West Ocean Senior
Bailey,Young,309 Jupiter Place,Western Ridge,72429,526,450,976,,Western Ridge High,Main Terrace Senior,Main Delta Senior,Western Ocean Secondary
Reed,Serrano,944 Perris Street,Northern Bay,72414,511,465,976,,North Bay College,North Terrace High,North Bay High,Southern Bayou Composite
Kingston,Travis,684 Kettering Court,Central Terrace,72387,531,444,975,,Western Ridge High,East Ocean Senior,South River Junior-Sec,West Ocean Senior
Lorenzo,Gibbs,846 Woodland Boulevard,Main View,72395,508,467,975,,Western Ridge High,West Ocean Senior,Eastern Bayou Secondary,East Ocean Senior
Isaac,Garza,87 Mandeville Lane,Eastern Delta,72442,505,470,975,,North Ridge High,South Ocean High,Main Terrace Senior,East Valley High
Ayaan,Hinton,17 Port Orange Boulevard,North Bay,72354,492,483,975,,West Bayou Senior,East Bayou College,East Valley Senior,Northern Ocean Secondary
Skylar,Graham,651 Ponce Road,West Valley,72366,487,488,975,,East Plateau College,South River Junior-Sec,East Bayou High,Eastern Ocean College
Ronald,Liu,454 West Hartford Avenue,Southern Valley,72416,534,440,974,,Northern Ocean Secondary,Western Delta Junior-Sec,West Ocean Senior,Main River College
Kamari,Hayden,54 Pittsfield Lane,East Bayou,72383,529,445,974,,East Valley Senior,Northern Ocean Secondary,Western Delta Secondary,Central Terrace Junior-Sec
Braxton,Henry,866 Port Huron Boulevard,West Bay,72374,526,448,974,,Northern Bayou High,Western Delta Junior-Sec,Main Ridge College,Southern Terrace Senior
Kristian,Green,250 Bellflower Court,Southern Valley,72416,523,451,974,,North Ridge High,West Ocean Secondary,East Terrace Senior,Eastern View High
Moses,Mora,48 Bayonne Drive,North River,72348,475,499,974,,West Valley High,Southern Ocean High,East Terrace Senior,South View Composite
Kolby,Gentry,961 Utica Boulevard,South Plateau,72360,533,440,973,,North Bay High,Eastern Plateau Junior-Sec,Northern Ocean Secondary,Northern Valley Senior
Issac,Cantrell,97 Schaumburg Court,North Bay,72354,531,442,973,,Southern Bayou Composite,South Ocean High,East Valley High,Central Terrace Secondary
Dallas,Figueroa,15 Schaumburg Avenue,East Delta,72382,485,488,973,,Central Plateau Secondary,Eastern View Composite,North-West Ocean Senior,South Valley Senior
Dayton,Woodward,864 Owensboro Place,Northern Valley,72406,519,453,972,,South Ridge High,East Ocean Senior,Western Ridge High,Main Ridge College
Victor,Jefferson,845 Kendale Lakes Court,Eastern Valley,72436,502,470,972,,South Ridge High,Eastern Terrace Secondary,South River Junior-Sec,Central-North View High
Trenton,Orr,767 St. Peters Drive,South Terrace,72357,486,486,972,,East-Central View Composite,South Ocean High,Main Valley Senior,West Bayou Senior
Fabian,Park,620 Leesburg Road,Main Terrace,72397,483,489,972,,Main Delta Senior,Eastern Ocean College,Main Plateau College,South Plateau Secondary
Tomas,Castro,531 Noblesville Place,East View,72375,550,421,971,,South Ocean High,East Ocean Secondary,West Valley High,South View Composite
Sean,Vasquez,351 Iowa City Road,Eastern Ridge,72439,519,452,971,,North Bay High,Northern Valley Senior,Main Ridge College,North-West Ocean Senior
Easton,Harper,206 Morristown Street,Western Bay,72434,494,477,971,,Northern Terrace High,North Bayou High,Main Valley Senior,North Bay College
Alexis,Copeland,111 Pittsfield Place,Southern Plateau,72420,483,488,971,,North Plateau Secondary,South Ocean High,Eastern Bayou Secondary,Western Plateau Secondary
Connor,Lozano,530 Jupiter Drive,Eastern Terrace,72437,500,470,970,,Eastern Valley Junior-Sec,Northern View Junior-Sec,Eastern Terrace Secondary,Eastern Bayou Secondary
Malcolm,Cannon,432 Turlock Boulevard,Northern Terrace,72407,496,474,970,,Main Terrace Senior,South Plateau Secondary,Main Plateau Composite,Main Ridge College
Jakobe,Mcintosh,581 Decatur Avenue,Northern Ocean,72411,493,477,970,,West Bayou Senior,North Ridge High,Eastern Ocean Secondary,Eastern Terrace Secondary
Dallas,Aguirre,856 East Stroudsburg Place,North Bayou,72353,546,423,969,,Eastern Plateau Junior-Sec,Main Terrace Secondary,South Valley Senior,Western Plateau Secondary
Finley,Crawford,550 Fountain Valley Boulevard,North Valley,72346,537,432,969,,Central Ridge Composite,Central Plateau Secondary,Western Ridge High,Central Terrace Secondary
Dario,Donovan,259 Gadsden Drive,East River,72378,515,454,969,,South Ocean High,Central Terrace Junior-Sec,North Bay College,Western Plateau Secondary
Issac,Bradley,912 San Rafael Road,East View,72375,514,455,969,,East Valley High,Northern Bay Senior,Eastern River Secondary,Western Delta Secondary
Reed,Booth,341 Novi Boulevard,Central Terrace,72387,492,477,969,,Main Delta Composite,Eastern Terrace Secondary,East Plateau College,North Terrace High
Bobby,Irwin,778 Milpitas Avenue,Eastern River,72438,479,490,969,,West Valley High,South Ridge High,Main Terrace Senior,East Bayou College
Case,Yu,176 Baldwin Park Drive,Main River,72398,476,493,969,,Eastern Ocean College,North Bayou High,North Ridge High,West Bayou Senior
Jasper,Castillo,194 Doral Road,Main Plateau,72400,513,455,968,,Southern Ocean High,Northern Terrace High,Eastern Bayou Secondary,Eastern Valley Junior-Sec
Ari,Patrick,281 Santa Fe Place,Main Valley,72396,513,455,968,,South Plateau Secondary,Northern View Junior-Sec,Main Ridge College,North Bay College
Ari,Jacobson,123 South Jordan Place,Eastern Ridge,72439,493,475,968,,Main Plateau College,Eastern View High,South View Composite,Southern Terrace Senior
Lucas,Tucker,549 Brandon Place,South View,72355,488,480,968,,North Bayou High,Northern River Senior,Eastern Bayou Secondary,East Ocean Senior
Colt,Liu,854 Bend Boulevard,North Terrace,72347,550,417,967,,Southern Terrace Senior,East Valley Senior,Southern Plateau Secondary,Eastern Plateau Junior-Sec
Keagan,Green,704 Loveland Drive,East Bayou,72383,535,432,967,,Main Delta Senior,Eastern Valley Junior-Sec,South River High,Central Terrace Junior-Sec
Lorenzo,Sharp,913 Sunrise Court,Southern Bay,72424,486,481,967,,Eastern View High,South River Junior-Sec,Main Plateau Composite,Western Ocean Secondary
Tomas,Warner,290 La Crosse Avenue,West Valley,72366,476,490,966,,Eastern Plateau Senior,Main Delta Senior,Western Ridge High,Eastern Plateau Junior-Sec
Jakobe,Sellers,342 Sheboygan Lane,Western Plateau,72430,510,455,965,,Eastern Valley Junior-Sec,North Bayou High,Eastern River Secondary,South Ridge High
Kody,Garza,49 Wilmington Street,Eastern Plateau,72440,478,487,965,,Northern Valley Senior,Central Terrace Junior-Sec,East Bayou College,Central Ridge Composite
Raul,Levine,162 Redondo Beach Avenue,West Plateau,72370,545,419,964,,Main Bayou College,South Delta Secondary,Eastern River Secondary,South River High
Ruben,Bradford,883 Blacksburg Street,East Bayou,72383,509,455,964,,Central Ridge Composite,North Bay College,Main Valley Senior,Main Plateau College
Jamie,Castillo,182 Battle Creek Street,South Ocean,72361,487,477,964,,Central Ridge Senior,North Bayou High,Western Delta Junior-Sec,South Delta Secondary
Jamarcus,Hayes,625 State College Boulevard,West Bayou,72373,482,482,964,,South River High,Main Terrace Senior,South Ocean High,East Bayou College
Deven,Sanford,132 Middletown Drive,Central Bay,72394,505,458,963,,Northern Bay Senior,West Bayou Senior,East Valley Senior,Northern Ocean Secondary
Adam,Hawkins,510 Livonia Street,Main Bayou,72403,535,428,963,,Eastern Bayou Junior-Sec,South Ridge High,Eastern View Composite,Eastern Ocean Secondary
Marquise,Santiago,226 Buena Park Boulevard,South View,72355,535,427,962,,Southern Ocean High,Western Bayou High,Northern Ocean Secondary,North Bay College
Josiah,Macias,386 Elizabethtown Drive,Western View,72425,525,437,962,,East Valley Senior,Eastern River Secondary,Main Terrace Senior,Main Ridge College
Calvin,Fields,929 Largo Boulevard,Western Ridge,72429,523,439,962,,Main Terrace College,Northern River Senior,South River Junior-Sec,Eastern Ocean Secondary
Ishaan,Pope,665 Dublin Drive,South Terrace,72357,511,451,962,,Southern Terrace Senior,Southern Plateau Secondary,Western Ocean Secondary,East Terrace Senior
Deandre,Shah,855 Everett Boulevard,Eastern Bay,72444,510,452,962,,West Ocean Secondary,East Ocean Senior,North Bay College,Eastern Ocean College
Bobby,Gillespie,724 Monroe Lane,Southern Ridge,72419,496,466,962,,East Bayou College,Northern Bay College,Central-North View High,Eastern Bayou Junior-Sec
Holden,Bradley,581 Waltham Street,Main Ocean,72401,486,476,962,,Western Ridge High,Northern Ocean Secondary,East-Central View Composite,Main Delta Composite
Dillan,Anderson,762 Ellicott City Avenue,Eastern Valley,72436,542,419,961,,Northern Bayou High,North Bay High,Eastern River Secondary,South Ridge High
Johnathan,Sellers,836 Carson City Lane,East View,72375,533,428,961,,East Bayou College,Main Terrace College,Southern Plateau Secondary,Northern Bay College
Adonis,Franklin,994 Allen Street,East Plateau,72380,526,435,961,,Eastern Ocean College,Southern Terrace Senior,Main Valley Senior,Main Delta Senior
Colt,Zimmerman,808 Longview Road,Southern Terrace,72417,522,439,961,,Northern Valley Senior,Main Terrace College,East Valley Senior,Western Bayou High
Parker,Burnett,961 New Brunswick Avenue,Northern Bayou,72413,521,440,961,,Main Terrace Senior,West Bayou Senior,Main Valley Senior,North Bayou High
Kane,Berger,797 Wheeling Drive,Main Ocean,72401,518,443,961,,Central-North View High,Western Ocean Secondary,Northern Bay College,Northern River Senior
Jayden,Gill,906 Bentonville Avenue,Eastern View,72435,515,446,961,,East Ocean Secondary,Southern Terrace Senior,East Bayou High,Central Terrace Junior-Sec
